count,actor,action,repo
1,rinor,issue_comment.update,hyperledger/besu
56,rolandtyler,pull_request_review.submit,hyperledger/besu-docs
2,rolandtyler,pull_request.close,hyperledger/besu-docs
38,rolandtyler,pull_request.create,hyperledger/besu-docs
80,rolandtyler,pull_request.create_review_request,hyperledger/besu-docs
37,rolandtyler,pull_request.merge,hyperledger/besu-docs
6,rolandtyler,repository_vulnerability_alert.create,hyperledger/besu-docs
2,rolandtyler,repository_vulnerability_alert.resolve,hyperledger/besu-docs
1,rolfyone,pull_request_review.submit,hyperledger/besu
12,RP27,issue_comment.update,hyperledger/besu
1,RP27,pull_request.close,hyperledger/besu
1,RP27,pull_request.converted_to_draft,hyperledger/besu
5,RP27,pull_request.create,hyperledger/besu
1,RP27,pull_request.ready_for_review,hyperledger/besu
1,ryanjjones10,issue_comment.destroy,hyperledger/besu
1,ryjones,hook.create,hyperledger/besu
1,ryjones,issue_comment.destroy,hyperledger/besu
1,ryjones,issue_comment.update,hyperledger/besu
1,ryjones,pull_request.create,hyperledger/besu
1,ryjones,repo.remove_member,hyperledger/besu
2,ryjones,repository_vulnerability_alerts.authorized_users_teams,hyperledger/besu
2,ryjones,team.add_repository,hyperledger/besu
4,ryjones,team.update_repository_permission,hyperledger/besu
1,ryjones,hook.create,hyperledger/besu-docs
3,ryjones,repository_vulnerability_alert.create,hyperledger/besu-docs
2,ryjones,repository_vulnerability_alerts.authorized_users_teams,hyperledger/besu-docs
1,ryjones,required_status_check.create,hyperledger/besu-docs
2,ryjones,team.add_repository,hyperledger/besu-docs
3,ryjones,team.update_repository_permission,hyperledger/besu-docs
2,ryjones,repository_vulnerability_alerts.authorized_users_teams,hyperledger/besu-errorprone-checks
6,ryjones,team.add_repository,hyperledger/besu-errorprone-checks
4,ryjones,team.update_repository_permission,hyperledger/besu-errorprone-checks
2,ryjones,repo.remove_member,hyperledger/besu-native
2,ryjones,repository_vulnerability_alerts.authorized_users_teams,hyperledger/besu-native
3,ryjones,team.add_repository,hyperledger/besu-native
1,ryjones,team.remove_repository,hyperledger/besu-native
3,ryjones,team.update_repository_permission,hyperledger/besu-native
1,ryjones,pull_request.create,hyperledger/homebrew-besu
1,ryjones,repository_vulnerability_alerts.authorized_users_teams,hyperledger/homebrew-besu
2,ryjones,team.add_repository,hyperledger/homebrew-besu
3,ryjones,team.update_repository_permission,hyperledger/homebrew-besu
6,sandrawangyx,issue_comment.update,hyperledger/besu
1,sandrawangyx,pull_request_review_comment.delete,hyperledger/besu
1,sandrawangyx,pull_request.close,hyperledger/besu
2,sandrawangyx,pull_request.converted_to_draft,hyperledger/besu
7,sandrawangyx,pull_request.create,hyperledger/besu
4,sandrawangyx,pull_request.create_review_request,hyperledger/besu
1,sandrawangyx,pull_request.ready_for_review,hyperledger/besu
3,SeongUkJeon,issue_comment.destroy,hyperledger/besu
20,SeongUkJeon,issue_comment.update,hyperledger/besu
5,sharad-develop,issue_comment.update,hyperledger/besu
4,sharad-develop,pull_request_review.submit,hyperledger/besu
1,sharad-develop,pull_request.close,hyperledger/besu
4,sharad-develop,pull_request.create,hyperledger/besu
4,shemnon,hook.config_changed,hyperledger/besu
1,shemnon,hook.create,hyperledger/besu
1,shemnon,hook.destroy,hyperledger/besu
3,shemnon,hook.events_changed,hyperledger/besu
1,shemnon,issue_comment.destroy,hyperledger/besu
11,shemnon,issue_comment.update,hyperledger/besu
1,shemnon,protected_branch.rejected_ref_update,hyperledger/besu
5,shemnon,protected_branch.update_name,hyperledger/besu
2,shemnon,pull_request_review_comment.delete,hyperledger/besu
1,shemnon,pull_request_review.delete,hyperledger/besu
1,shemnon,pull_request_review.dismiss,hyperledger/besu
44,shemnon,pull_request_review.submit,hyperledger/besu
3,shemnon,pull_request.close,hyperledger/besu
29,shemnon,pull_request.create,hyperledger/besu
2,shemnon,pull_request.create_review_request,hyperledger/besu
23,shemnon,pull_request.merge,hyperledger/besu
1,shemnon,pull_request.reopen,hyperledger/besu
18,shemnon,repo.change_merge_setting,hyperledger/besu
1,shemnon,repository_advisory.publish,hyperledger/besu
1,shemnon,repository_advisory.update,hyperledger/besu
1,shemnon,hook.config_changed,hyperledger/besu-docs
1,shemnon,hook.events_changed,hyperledger/besu-docs
2,shemnon,pull_request_review.submit,hyperledger/besu-docs
3,shemnon,pull_request_review.submit,hyperledger/besu-native
3,shemnon,pull_request.create,hyperledger/besu-native
3,shemnon,pull_request.merge,hyperledger/besu-native
1,shemnon,repo.add_member,hyperledger/besu-native
1,shemnon,hook.create,hyperledger/homebrew-besu
3,shemnon,pull_request.create,hyperledger/homebrew-besu
3,shemnon,pull_request.merge,hyperledger/homebrew-besu
20,siladu,issue_comment.update,hyperledger/besu
1,siladu,pull_request_review_comment.delete,hyperledger/besu
19,siladu,pull_request_review.submit,hyperledger/besu
3,siladu,pull_request.close,hyperledger/besu
1,siladu,pull_request.converted_to_draft,hyperledger/besu
10,siladu,pull_request.create,hyperledger/besu
8,siladu,pull_request.create_review_request,hyperledger/besu
9,siladu,pull_request.merge,hyperledger/besu
5,siladu,pull_request.ready_for_review,hyperledger/besu
1,siladu,issue_comment.update,hyperledger/besu-docs
1,siladu,pull_request_review_comment.delete,hyperledger/besu-docs
3,siladu,pull_request_review.submit,hyperledger/besu-docs
2,siladu,pull_request.create,hyperledger/besu-docs
3,siladu,pull_request.create_review_request,hyperledger/besu-docs
1,siladu,pull_request.merge,hyperledger/besu-docs
1,Sjenica1,pull_request.create,hyperledger/besu
1,Sky0711,issue_comment.update,hyperledger/besu
1,svzdvd,pull_request.create,hyperledger/besu
1,taccatisid,protected_branch.rejected_ref_update,hyperledger/besu
3,taccatisid,pull_request.create,hyperledger/besu
1,taccatisid,pull_request.ready_for_review,hyperledger/besu
2,TheSwarnim,issue_comment.update,hyperledger/besu
2,TheSwarnim,pull_request.create,hyperledger/besu
1,tiagocmachado,issue_comment.update,hyperledger/besu
1,tuanggo,pull_request_review.submit,hyperledger/besu
2,usmansaleem,issue_comment.update,hyperledger/besu
4,usmansaleem,pull_request_review.submit,hyperledger/besu
1,usmansaleem,pull_request.create,hyperledger/besu
12,vjtom,issue_comment.update,hyperledger/besu
3,wcgcyx,pull_request_review.submit,hyperledger/besu
2,wcgcyx,pull_request.create,hyperledger/besu
1,yooseonghyuck,issue_comment.destroy,hyperledger/besu
3,yooseonghyuck,issue_comment.update,hyperledger/besu
1,yooseonghyuck,pull_request_review_comment.delete,hyperledger/besu
1,yooseonghyuck,pull_request_review.delete,hyperledger/besu
2,yooseonghyuck,pull_request_review.submit,hyperledger/besu
1,yooseonghyuck,pull_request.create,hyperledger/besu
2,yorickdowne,issue_comment.destroy,hyperledger/besu
34,yorickdowne,issue_comment.update,hyperledger/besu
2,YounesBM,issue_comment.update,hyperledger/besu
1,zilm13,issue_comment.destroy,hyperledger/besu
1,zilm13,issue_comment.update,hyperledger/besu
